S. No.,Employee Id,First Name,Last Name,Full Name,Gender,Marital Status,Age,Date Of Birth,Date Of Joining,Date of Leaving,Designation,Department,Work Location,Status,Qualification,Shift Details,Current CTC
1547,ASG01547,Atharv,Prakash,Atharv Prakash,Male,Married,45,1981-05-27,2016-10-10,,Sales Manager,Sales,Mumbai,Active,UG,Night,2788000
1548,ASG01548,Damyanti,Sangha,Damyanti Sangha,Female,Single,38,1988-05-18,2016-10-10,,Accounts Executive,Finance,Bangalore,Active,UG,Night,1322000
1549,ASG01549,Daksh,Ray,Daksh Ray,Male,Married,56,1970-06-09,2016-10-10,,Sales Manager,Sales,Chennai,Active,PG,Mid,3678000
1550,ASG01550,Veda,Radhakrishnan,Veda Radhakrishnan,Female,Married,38,1988-08-18,2016-10-11,,Senior Sales Executive,Sales,Mumbai,Active,UG,Day,1779000
1551,ASG01551,Omkaar,Ahuja,Omkaar Ahuja,Male,Married,38,1987-10-30,2016-10-11,,Sr Accountant,Finance,Kolkata,Active,PG,Night,1838000
1552,ASG01552,Om,Dhillon,Om Dhillon,Male,Married,44,1982-09-08,2016-10-12,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Mid,2204000
1553,ASG01553,Samar,Narayan,Samar Narayan,Male,Married,33,1993-05-26,2016-10-12,2018-08-30,Sr Accountant,Finance,Chennai,Relieved,PG,Night,1514000
1554,ASG01554,Chanchal,Sarraf,Chanchal Sarraf,Female,Single,36,1989-10-24,2016-10-13,,HR Analyst,HR,Mumbai,Active,PG,Day,1226000
1555,ASG01555,Avi,Kapoor,Avi Kapoor,Male,Married,37,1989-05-22,2016-10-13,2018-07-03,Regional Sales Lead,Sales,Bangalore,Relieved,PG,Night,1791000
1556,ASG01556,Kashvi,Sandhu,Kashvi Sandhu,Female,Married,33,1993-05-28,2016-10-14,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1469000
1557,ASG01557,Rohan,Parikh,Rohan Parikh,Male,Married,37,1989-05-20,2016-10-14,,Data Analyst,Analytics,Kolkata,Active,UG,Day,1292000
1558,ASG01558,Sneha,Mukhopadhyay,Sneha Mukhopadhyay,Female,Married,41,1985-04-12,2016-10-15,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,2026000
1559,ASG01559,Ekansh,Halder,Ekansh Halder,Male,Single,31,1995-05-05,2016-10-15,,Data Analyst,Analytics,Kolkata,Active,PG,Day,1016000
1560,ASG01560,Vyanjana,Samra,Vyanjana Samra,Female,Married,45,1981-02-07,2016-10-15,2020-08-01,HR Manager,HR,Hyderabad,Relieved,UG,Mid,2811000
1561,ASG01561,Noah,Kale,Noah Kale,Male,Married,36,1990-03-05,2016-10-15,2024-02-28,Regional Sales Lead,Sales,Bangalore,Relieved,UG,Mid,1644000
1562,ASG01562,Mekhala,Deol,Mekhala Deol,Female,Married,40,1986-09-16,2016-10-16,,Senior Sales Executive,Sales,Kolkata,Active,UG,Night,1919000
1563,ASG01563,Yuvraj,Nayar,Yuvraj Nayar,Male,Married,44,1981-10-20,2016-10-16,,Senior Payroll Analyst,Payroll,Hyderabad,Active,PG,Mid,2243000
1564,ASG01564,Pratyush,Raman,Pratyush Raman,Male,Single,30,1995-11-05,2016-10-17,,HR Executive,HR,Kolkata,Active,UG,Mid,712000
1565,ASG01565,Ansh,Johal,Ansh Johal,Male,Married,33,1992-11-04,2016-10-18,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Day,1500000
1566,ASG01566,Jonathan,Sagar,Jonathan Sagar,Male,Married,37,1989-06-15,2016-10-18,,Accounts Executive,Finance,Kolkata,Active,PG,Day,1311000
1567,ASG01567,Anita,Dutta,Anita Dutta,Female,Single,33,1993-08-26,2016-10-19,,BI Developer,Analytics,Hyderabad,Active,UG,Night,1132000
1568,ASG01568,Hitesh,Swamy,Hitesh Swamy,Male,Single,44,1982-05-17,2016-10-19,,Regional Sales Lead,Sales,Kolkata,Active,UG,Day,2264000
1569,ASG01569,Faqid,Rajagopalan,Faqid Rajagopalan,Male,Married,41,1985-09-14,2016-10-20,,Senior Data Analyst,Analytics,Chennai,Active,UG,Day,2039000
1570,ASG01570,Baljiwan,Keer,Baljiwan Keer,Male,Single,44,1982-05-06,2016-10-20,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,2190000
1571,ASG01571,Charan,Subramanian,Charan Subramanian,Male,Single,50,1975-12-17,2016-10-20,,HR Manager,HR,Mumbai,Active,PG,Night,3148000
1572,ASG01572,Naksh,Sunder,Naksh Sunder,Male,Married,32,1994-03-07,2016-10-20,,BI Developer,Analytics,Mumbai,Active,UG,Day,1024000
1573,ASG01573,Balvan,Batra,Balvan Batra,Male,Married,35,1991-03-23,2016-10-21,,HR Analyst,HR,Bangalore,Active,UG,Day,1213000
1574,ASG01574,Lekha,Ganguly,Lekha Ganguly,Female,Married,33,1993-03-24,2016-10-22,,Accounts Executive,Finance,Hyderabad,Active,PG,Day,1110000
1575,ASG01575,Kabir,Dani,Kabir Dani,Male,Single,35,1991-01-08,2016-10-23,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Day,1611000
1576,ASG01576,Krish,Suresh,Krish Suresh,Male,Single,44,1981-12-08,2016-10-23,,Regional Sales Lead,Sales,Kolkata,Active,PG,Mid,2247000
1577,ASG01577,Quincy,Nazareth,Quincy Nazareth,Male,Single,34,1991-12-04,2016-10-24,,Accounts Executive,Finance,Hyderabad,Active,PG,Day,1121000
1578,ASG01578,Harinakshi,Devan,Harinakshi Devan,Female,Married,32,1994-05-23,2016-10-24,,Sales Executive,Sales,Kolkata,Active,PG,Day,1051000
1579,ASG01579,Ojas,Guha,Ojas Guha,Male,Married,41,1985-01-28,2016-10-24,,Sr Accountant,Finance,Kolkata,Active,UG,Night,2058000
1580,ASG01580,Osha,Varghese,Osha Varghese,Female,Single,35,1991-05-08,2016-10-24,,HR Analyst,HR,Kolkata,Active,UG,Day,1229000
1581,ASG01581,Guneet,Gole,Guneet Gole,Male,Single,58,1967-11-28,2016-10-25,,Finance Manager,Finance,Hyderabad,Active,UG,Day,3800000
1582,ASG01582,Ekaraj,Purohit,Ekaraj Purohit,Male,Married,35,1990-10-27,2016-10-25,,Sales Executive,Sales,Kolkata,Active,PG,Day,1196000
1583,ASG01583,Hredhaan,Chawla,Hredhaan Chawla,Male,Married,42,1984-02-26,2016-10-26,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,2078000
1584,ASG01584,Atharv,Oak,Atharv Oak,Male,Single,34,1992-07-13,2016-10-26,2022-05-27,HR Analyst,HR,Chennai,Relieved,PG,Day,1163000
1585,ASG01585,Chandresh,Boase,Chandresh Boase,Male,Single,47,1979-08-16,2016-10-27,,Analytics Manager,Analytics,Mumbai,Active,PG,Day,2941000
1586,ASG01586,Vamakshi,Apte,Vamakshi Apte,Female,Single,36,1990-02-27,2016-10-27,,Accounts Executive,Finance,Chennai,Active,UG,Night,1257000
1587,ASG01587,Ekiya,Sha,Ekiya Sha,Female,Married,41,1984-10-22,2016-10-28,,Regional Sales Lead,Sales,Mumbai,Active,PG,Day,2048000
1588,ASG01588,Watika,Palla,Watika Palla,Female,Married,30,1995-12-12,2016-10-28,,Accounts Trainee,Finance,Chennai,Active,PG,Mid,711000
1589,ASG01589,Ekta,Chacko,Ekta Chacko,Female,Single,36,1990-04-01,2016-10-28,,Accounts Executive,Finance,Bangalore,Active,UG,Day,1247000
1590,ASG01590,Samesh,Edwin,Samesh Edwin,Male,Married,35,1991-06-21,2016-10-29,,Senior Data Analyst,Analytics,Chennai,Active,UG,Mid,1640000
1591,ASG01591,Chandani,Madan,Chandani Madan,Female,Married,35,1991-05-12,2016-10-29,,Data Analyst,Analytics,Bangalore,Active,PG,Day,1222000
1592,ASG01592,Lekha,Salvi,Lekha Salvi,Female,Married,30,1995-11-25,2016-10-29,,Payroll Executive,Payroll,Hyderabad,Active,UG,Night,707000
1593,ASG01593,Chavvi,Kaur,Chavvi Kaur,Female,Married,42,1984-06-19,2016-10-30,2024-08-17,Senior Data Analyst,Analytics,Hyderabad,Relieved,PG,Day,2067000
1594,ASG01594,Meera,Kamdar,Meera Kamdar,Female,Married,30,1996-03-27,2016-10-30,,HR Executive,HR,Chennai,Active,UG,Day,699000
1595,ASG01595,Nathan,Raja,Nathan Raja,Male,Married,32,1994-04-16,2016-10-30,,Payroll Analyst,Payroll,Bangalore,Active,PG,Mid,1059000
1596,ASG01596,Omkaar,Kunda,Omkaar Kunda,Male,Married,35,1991-09-01,2016-10-30,2023-05-14,Senior Sales Executive,Sales,Mumbai,Relieved,UG,Day,1636000
1597,ASG01597,Shaurya,Doshi,Shaurya Doshi,Male,Married,50,1975-12-27,2016-10-31,,Finance Manager,Finance,Kolkata,Active,PG,Day,3162000
1598,ASG01598,Amol,Parsa,Amol Parsa,Male,Married,40,1986-07-07,2016-11-01,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,1926000
1599,ASG01599,Nicholas,Mand,Nicholas Mand,Male,Married,43,1983-07-12,2016-11-02,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,2127000
1600,ASG01600,Neel,Thakkar,Neel Thakkar,Male,Single,43,1983-01-10,2016-11-03,2021-03-31,Senior Payroll Analyst,Payroll,Bangalore,Relieved,UG,Mid,2155000
1601,ASG01601,Sathvik,Loke,Sathvik Loke,Male,Single,40,1986-03-13,2016-11-04,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,1922000
1602,ASG01602,Eshana,Deo,Eshana Deo,Female,Married,54,1971-10-23,2016-11-04,,Finance Manager,Finance,Hyderabad,Active,PG,Day,3515000
1603,ASG01603,Imaran,Rama,Imaran Rama,Male,Married,37,1989-02-24,2016-11-05,,Data Analyst,Analytics,Mumbai,Active,PG,Day,1319000
1604,ASG01604,Daksha,Sachar,Daksha Sachar,Female,Married,38,1988-07-23,2016-11-06,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Day,1804000
1605,ASG01605,Gavin,Narula,Gavin Narula,Male,Single,50,1975-12-10,2016-11-06,,Analytics Manager,Analytics,Mumbai,Active,UG,Day,3195000
1606,ASG01606,Zaitra,Rai,Zaitra Rai,Female,Married,33,1993-04-26,2016-11-06,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,1475000
1607,ASG01607,Rayaan,Mital,Rayaan Mital,Male,Married,30,1996-09-04,2016-11-07,,Payroll Analyst,Payroll,Chennai,Active,UG,Mid,982000
1608,ASG01608,Nakul,Apte,Nakul Apte,Male,Single,34,1991-11-04,2016-11-07,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,1580000
1609,ASG01609,Vasatika,Bose,Vasatika Bose,Female,Married,44,1982-09-16,2016-11-07,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Mid,2189000
1610,ASG01610,Ishani,Patel,Ishani Patel,Female,Married,33,1993-05-01,2016-11-07,,Sales Executive,Sales,Bangalore,Active,UG,Day,1130000
1611,ASG01611,Kavya,More,Kavya More,Female,Married,33,1992-11-16,2016-11-07,2023-05-03,Accounts Executive,Finance,Chennai,Relieved,UG,Day,1075000
1612,ASG01612,Kritika,Rama,Kritika Rama,Female,Married,37,1989-04-03,2016-11-09,,Data Analyst,Analytics,Mumbai,Active,UG,Night,1297000
1613,ASG01613,Samaksh,Kaur,Samaksh Kaur,Male,Single,45,1981-03-20,2016-11-11,,Senior Sales Executive,Sales,Kolkata,Active,UG,Day,2341000
1614,ASG01614,Suhani,Shah,Suhani Shah,Female,Married,30,1996-02-20,2016-11-11,,Sales Trainee,Sales,Chennai,Active,UG,Day,699000
1615,ASG01615,Arjun,Bedi,Arjun Bedi,Male,Married,32,1993-12-11,2016-11-11,,Senior Sales Executive,Sales,Chennai,Active,PG,Mid,1394000
1616,ASG01616,Simon,Mukhopadhyay,Simon Mukhopadhyay,Male,Single,45,1981-02-19,2016-11-12,2020-12-30,Senior Sales Executive,Sales,Chennai,Relieved,UG,Night,2332000
1617,ASG01617,Dhriti,Shetty,Dhriti Shetty,Female,Married,34,1992-07-24,2016-11-12,2022-04-22,Data Analyst,Analytics,Bangalore,Relieved,UG,Night,1131000
1618,ASG01618,Jagdish,Pandey,Jagdish Pandey,Male,Married,48,1978-07-02,2016-11-13,2020-10-29,Analytics Manager,Analytics,Chennai,Relieved,PG,Day,3031000
1619,ASG01619,Tanveer,Mukhopadhyay,Tanveer Mukhopadhyay,Male,Married,42,1984-04-20,2016-11-13,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Night,2051000
1620,ASG01620,Praneel,Divan,Praneel Divan,Male,Single,30,1996-02-01,2016-11-14,,Accounts Executive,Finance,Bangalore,Active,PG,Mid,945000
1621,ASG01621,Robert,Wable,Robert Wable,Male,Married,37,1989-07-12,2016-11-14,,Regional Sales Lead,Sales,Chennai,Active,PG,Day,1770000
1622,ASG01622,Divya,Tripathi,Divya Tripathi,Female,Married,42,1983-11-25,2016-11-14,,Senior Sales Executive,Sales,Hyderabad,Active,PG,Day,2127000
1623,ASG01623,Chakrika,Devan,Chakrika Devan,Female,Single,33,1993-02-03,2016-11-14,,Payroll Analyst,Payroll,Bangalore,Active,PG,Mid,1081000
1624,ASG01624,Amruta,Sangha,Amruta Sangha,Female,Married,38,1987-11-28,2016-11-14,,Sales Executive,Sales,Bangalore,Active,PG,Mid,1379000
1625,ASG01625,Lipika,Borde,Lipika Borde,Female,Single,34,1992-06-21,2016-11-14,2019-12-17,Payroll Analyst,Payroll,Mumbai,Relieved,PG,Day,1144000
1626,ASG01626,Waida,Chahal,Waida Chahal,Female,Married,41,1985-03-03,2016-11-16,,Regional Sales Lead,Sales,Mumbai,Active,UG,Day,2006000
1627,ASG01627,Damini,Bal,Damini Bal,Female,Single,36,1989-10-11,2016-11-17,,Sr Accountant,Finance,Kolkata,Active,PG,Night,1682000
1628,ASG01628,Abha,Narang,Abha Narang,Female,Married,30,1995-12-12,2016-11-17,,HR Executive,HR,Chennai,Active,UG,Mid,701000
1629,ASG01629,Ethan,Madan,Ethan Madan,Male,Single,51,1974-09-22,2016-11-18,,Payroll Manager,Payroll,Bangalore,Active,PG,Day,3239000
1630,ASG01630,Amara,Bassi,Amara Bassi,Female,Single,33,1993-04-16,2016-11-18,,Senior Data Analyst,Analytics,Bangalore,Active,UG,Day,1467000
1631,ASG01631,Vinaya,Nanda,Vinaya Nanda,Female,Single,36,1990-03-28,2016-11-19,,Accounts Executive,Finance,Kolkata,Active,PG,Day,1245000
1632,ASG01632,Divya,Lal,Divya Lal,Female,Married,43,1983-02-07,2016-11-19,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,2123000
1633,ASG01633,Garima,Kohli,Garima Kohli,Female,Single,35,1991-05-18,2016-11-20,2024-05-02,Sr Accountant,Finance,Chennai,Relieved,UG,Day,1639000
1634,ASG01634,Akshay,Gola,Akshay Gola,Male,Single,34,1992-09-12,2016-11-20,,HR Analyst,HR,Kolkata,Active,UG,Night,1132000
1635,ASG01635,Lucky,Chakrabarti,Lucky Chakrabarti,Male,Married,41,1985-02-23,2016-11-20,2019-07-05,Senior Payroll Analyst,Payroll,Hyderabad,Relieved,UG,Day,2033000
1636,ASG01636,Aashi,Arora,Aashi Arora,Female,Single,33,1993-08-20,2016-11-20,,Sr Accountant,Finance,Bangalore,Active,UG,Day,1459000
1637,ASG01637,Mohammed,Bava,Mohammed Bava,Male,Married,40,1986-05-20,2016-11-21,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,1989000
1638,ASG01638,Lohit,Merchant,Lohit Merchant,Male,Married,30,1996-04-15,2016-11-21,2021-10-14,HR Executive,HR,Kolkata,Relieved,PG,Mid,705000
1639,ASG01639,Meghana,Wali,Meghana Wali,Female,Single,40,1986-07-15,2016-11-21,,Sr Accountant,Finance,Hyderabad,Active,PG,Night,1931000
1640,ASG01640,Sanya,Bahl,Sanya Bahl,Female,Married,40,1985-10-12,2016-11-22,2019-06-21,Senior Payroll Analyst,Payroll,Kolkata,Relieved,PG,Day,1987000
1641,ASG01641,Xavier,Brar,Xavier Brar,Male,Married,36,1990-01-20,2016-11-22,,BI Developer,Analytics,Bangalore,Active,UG,Night,1265000
1642,ASG01642,Sanya,Madan,Sanya Madan,Female,Married,44,1982-03-06,2016-11-22,2021-03-12,Regional Sales Lead,Sales,Chennai,Relieved,UG,Day,2190000
1643,ASG01643,Rushil,Setty,Rushil Setty,Male,Married,35,1991-04-22,2016-11-22,,Sales Executive,Sales,Kolkata,Active,PG,Day,1217000
1644,ASG01644,Isaiah,Chokshi,Isaiah Chokshi,Male,Married,41,1985-07-11,2016-11-23,,Senior Sales Executive,Sales,Chennai,Active,UG,Day,1988000
1645,ASG01645,Yutika,Malhotra,Yutika Malhotra,Female,Single,37,1989-09-04,2016-11-23,,Senior Data Analyst,Analytics,Chennai,Active,UG,Night,1785000
1646,ASG01646,Pranit,Kota,Pranit Kota,Male,Married,36,1989-10-25,2016-11-23,,Data Analyst,Analytics,Kolkata,Active,PG,Day,1280000
1647,ASG01647,Chanakya,Madan,Chanakya Madan,Male,Married,53,1973-05-23,2016-11-23,2024-08-13,Payroll Manager,Payroll,Mumbai,Relieved,PG,Day,3442000
1648,ASG01648,Naveen,Karan,Naveen Karan,Male,Single,37,1988-10-08,2016-11-24,,Senior Sales Executive,Sales,Hyderabad,Active,PG,Day,1787000
1649,ASG01649,Aarini,Dua,Aarini Dua,Female,Single,37,1988-12-22,2016-11-24,,HR Analyst,HR,Bangalore,Active,UG,Day,1308000
1650,ASG01650,Onkar,Mitter,Onkar Mitter,Male,Single,40,1985-11-30,2016-11-25,,Regional Sales Lead,Sales,Mumbai,Active,UG,Mid,1983000
1651,ASG01651,Mason,Bumb,Mason Bumb,Male,Single,41,1985-01-13,2016-11-25,2025-10-27,Senior Sales Executive,Sales,Kolkata,Relieved,UG,Mid,1990000
1652,ASG01652,Girik,Chad,Girik Chad,Male,Married,37,1989-05-31,2016-11-26,,Sales Executive,Sales,Hyderabad,Active,UG,Day,1291000
1653,ASG01653,Chanakya,Singh,Chanakya Singh,Male,Single,35,1991-06-25,2016-11-26,,Accounts Executive,Finance,Mumbai,Active,UG,Night,1181000
1654,ASG01654,Lohit,Arora,Lohit Arora,Male,Single,33,1993-04-30,2016-11-26,,Senior Data Analyst,Analytics,Hyderabad,Active,UG,Day,1449000
1655,ASG01655,Reva,Nagar,Reva Nagar,Female,Married,33,1993-05-17,2016-11-26,,Accounts Executive,Finance,Kolkata,Active,PG,Day,1120000
1656,ASG01656,Laksh,Nayak,Laksh Nayak,Male,Married,34,1992-02-02,2016-11-27,,Sr Accountant,Finance,Mumbai,Active,UG,Day,1543000
1657,ASG01657,Faras,Anand,Faras Anand,Male,Married,50,1975-10-15,2016-11-27,,HR Manager,HR,Mumbai,Active,UG,Day,3136000
1658,ASG01658,Megha,Ganesan,Megha Ganesan,Female,Married,50,1976-06-12,2016-11-27,2022-11-25,Finance Manager,Finance,Bangalore,Relieved,PG,Night,3175000
1659,ASG01659,Anusha,Madan,Anusha Madan,Female,Single,35,1991-07-18,2016-11-28,,Payroll Analyst,Payroll,Kolkata,Active,PG,Day,1222000
1660,ASG01660,Ucchal,Walla,Ucchal Walla,Female,Single,34,1992-08-16,2016-11-28,,Sales Executive,Sales,Bangalore,Active,UG,Night,1177000
1661,ASG01661,Widisha,Atwal,Widisha Atwal,Female,Single,57,1969-05-07,2016-11-28,2026-02-23,HR Manager,HR,Bangalore,Relieved,PG,Day,3738000
1662,ASG01662,Baljiwan,Dara,Baljiwan Dara,Male,Single,40,1986-06-17,2016-11-28,2025-06-12,Senior Data Analyst,Analytics,Kolkata,Relieved,UG,Night,1931000
1663,ASG01663,Ekani,Murty,Ekani Murty,Female,Single,44,1982-03-18,2016-11-29,,Regional Sales Lead,Sales,Bangalore,Active,UG,Mid,2244000
1664,ASG01664,Chatura,Nori,Chatura Nori,Male,Married,37,1988-09-21,2016-11-29,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,1778000
1665,ASG01665,Waida,Walla,Waida Walla,Female,Single,37,1989-05-29,2016-11-29,,Senior Sales Executive,Sales,Bangalore,Active,PG,Day,1719000
1666,ASG01666,Vedika,Kuruvilla,Vedika Kuruvilla,Female,Married,44,1981-12-12,2016-11-29,,Senior Data Analyst,Analytics,Hyderabad,Active,UG,Day,2244000
1667,ASG01667,Yashasvi,Prashad,Yashasvi Prashad,Female,Single,58,1968-03-17,2016-11-30,2024-04-04,HR Manager,HR,Mumbai,Relieved,PG,Day,3800000
1668,ASG01668,Kai,Bedi,Kai Bedi,Male,Married,34,1992-02-11,2016-11-30,2024-06-08,Regional Sales Lead,Sales,Chennai,Relieved,UG,Night,1555000
1669,ASG01669,Hema,Ratta,Hema Ratta,Female,Married,44,1982-09-04,2016-11-30,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,2217000
1670,ASG01670,Vritti,Chowdhury,Vritti Chowdhury,Female,Married,33,1992-11-16,2016-12-01,,Sales Executive,Sales,Hyderabad,Active,UG,Day,1098000
1671,ASG01671,Turvi,Lad,Turvi Lad,Female,Single,36,1990-01-07,2016-12-01,2018-05-14,Senior Data Analyst,Analytics,Mumbai,Relieved,PG,Day,1684000
1672,ASG01672,Chanchal,Sandal,Chanchal Sandal,Female,Married,34,1992-03-06,2016-12-02,,Sales Executive,Sales,Bangalore,Active,UG,Mid,1118000
1673,ASG01673,Yochana,Prakash,Yochana Prakash,Female,Single,33,1993-07-20,2016-12-02,,Regional Sales Lead,Sales,Kolkata,Active,PG,Mid,1469000
1674,ASG01674,Tanish,Bala,Tanish Bala,Male,Married,38,1988-01-12,2016-12-03,,BI Developer,Analytics,Kolkata,Active,UG,Day,1371000
1675,ASG01675,Jhalak,Basu,Jhalak Basu,Female,Married,45,1980-10-21,2016-12-03,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Day,2323000
1676,ASG01676,Vidhi,Mand,Vidhi Mand,Female,Married,45,1980-10-26,2016-12-03,,Sales Manager,Sales,Kolkata,Active,UG,Mid,2849000
1677,ASG01677,Yasti,Chada,Yasti Chada,Female,Married,34,1992-03-18,2016-12-03,,HR Analyst,HR,Kolkata,Active,UG,Mid,1172000
1678,ASG01678,Yash,Om,Yash Om,Male,Married,34,1992-08-11,2016-12-03,2022-12-04,Senior Payroll Analyst,Payroll,Mumbai,Relieved,PG,Day,1504000
1679,ASG01679,Chakradhar,Baria,Chakradhar Baria,Male,Single,32,1994-07-16,2016-12-05,,Payroll Analyst,Payroll,Bangalore,Active,PG,Day,1042000
1680,ASG01680,Alka,Parikh,Alka Parikh,Female,Married,35,1991-06-13,2016-12-05,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,1566000
1681,ASG01681,Logan,Sabharwal,Logan Sabharwal,Male,Married,37,1988-12-07,2016-12-05,,Sr Accountant,Finance,Chennai,Active,UG,Mid,1730000
1682,ASG01682,Omaja,Raval,Omaja Raval,Female,Single,34,1992-08-28,2016-12-06,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Day,1498000
1683,ASG01683,Oliver,Mohan,Oliver Mohan,Male,Married,52,1974-09-06,2016-12-07,,Finance Manager,Finance,Mumbai,Active,PG,Day,3306000
1684,ASG01684,Rohan,Butala,Rohan Butala,Male,Married,55,1971-07-22,2016-12-08,,Analytics Manager,Analytics,Mumbai,Active,UG,Mid,3597000
1685,ASG01685,Orinder,Tata,Orinder Tata,Male,Single,36,1989-12-12,2016-12-08,,Sr Accountant,Finance,Mumbai,Active,UG,Day,1697000
1686,ASG01686,Hardik,Krishna,Hardik Krishna,Male,Married,57,1968-11-06,2016-12-08,,Analytics Manager,Analytics,Hyderabad,Active,UG,Day,3773000
1687,ASG01687,Yutika,Cherian,Yutika Cherian,Female,Married,39,1987-04-14,2016-12-09,,Sr Accountant,Finance,Hyderabad,Active,PG,Day,1926000
1688,ASG01688,Hardik,Dhaliwal,Hardik Dhaliwal,Male,Single,40,1986-05-11,2016-12-09,,Sr Accountant,Finance,Mumbai,Active,UG,Day,1925000
1689,ASG01689,Vedhika,Vig,Vedhika Vig,Female,Married,38,1987-09-20,2016-12-09,2020-01-28,HR Analyst,HR,Chennai,Relieved,PG,Mid,1324000
1690,ASG01690,Omisha,Iyengar,Omisha Iyengar,Female,Single,44,1981-10-26,2016-12-10,,Senior Data Analyst,Analytics,Hyderabad,Active,UG,Night,2275000
1691,ASG01691,Dakshesh,Ganesan,Dakshesh Ganesan,Male,Married,38,1987-09-30,2016-12-10,2026-07-03,Senior Payroll Analyst,Payroll,Chennai,Relieved,PG,Day,1818000
1692,ASG01692,Tanmayi,Khosla,Tanmayi Khosla,Female,Married,33,1993-05-09,2016-12-10,2025-08-09,Senior Data Analyst,Analytics,Hyderabad,Relieved,UG,Day,1493000
1693,ASG01693,Krishna,Shan,Krishna Shan,Male,Single,44,1982-06-26,2016-12-11,,Senior Payroll Analyst,Payroll,Mumbai,Active,PG,Mid,2218000
1694,ASG01694,Tanmayi,Yogi,Tanmayi Yogi,Female,Married,30,1996-05-22,2016-12-11,2017-10-10,Accounts Executive,Finance,Bangalore,Relieved,PG,Mid,951000
1695,ASG01695,Sanya,Bahri,Sanya Bahri,Female,Married,34,1992-06-23,2016-12-11,,Sr Accountant,Finance,Mumbai,Active,UG,Mid,1519000
1696,ASG01696,Krishna,Bhasin,Krishna Bhasin,Male,Single,36,1990-03-19,2016-12-13,,Accounts Executive,Finance,Chennai,Active,UG,Day,1255000
1697,ASG01697,Devika,Kuruvilla,Devika Kuruvilla,Female,Married,30,1996-02-22,2016-12-13,,Sales Executive,Sales,Chennai,Active,PG,Mid,980000
1698,ASG01698,Samesh,Chada,Samesh Chada,Male,Single,54,1972-01-10,2016-12-13,,Analytics Manager,Analytics,Hyderabad,Active,UG,Day,3515000
1699,ASG01699,Gautam,Mahajan,Gautam Mahajan,Male,Married,37,1988-11-03,2016-12-14,,HR Analyst,HR,Chennai,Active,PG,Night,1311000
1700,ASG01700,Azad,Patla,Azad Patla,Male,Single,37,1989-08-17,2016-12-16,,Payroll Analyst,Payroll,Kolkata,Active,PG,Day,1320000
1701,ASG01701,Vidhi,Madan,Vidhi Madan,Female,Married,37,1989-03-21,2016-12-17,,Regional Sales Lead,Sales,Bangalore,Active,PG,Mid,1738000
1702,ASG01702,Keya,Vig,Keya Vig,Female,Married,41,1985-09-09,2016-12-17,,Regional Sales Lead,Sales,Bangalore,Active,UG,Mid,1988000
1703,ASG01703,Anamika,Kala,Anamika Kala,Female,Married,42,1984-05-23,2016-12-17,,Senior Sales Executive,Sales,Kolkata,Active,UG,Day,2123000
1704,ASG01704,Gautam,Talwar,Gautam Talwar,Male,Single,49,1977-08-18,2016-12-17,2023-06-27,Finance Manager,Finance,Hyderabad,Relieved,PG,Mid,3146000
1705,ASG01705,Baghyawati,Rout,Baghyawati Rout,Female,Married,30,1995-10-31,2016-12-18,,HR Executive,HR,Bangalore,Active,PG,Day,699000
1706,ASG01706,Zashil,Kari,Zashil Kari,Male,Single,45,1981-04-02,2016-12-18,,Finance Manager,Finance,Bangalore,Active,UG,Day,2849000
1707,ASG01707,Kiaan,Comar,Kiaan Comar,Male,Married,45,1981-07-23,2016-12-18,,Sr Accountant,Finance,Bangalore,Active,PG,Mid,2288000
1708,ASG01708,Anita,Keer,Anita Keer,Female,Married,46,1980-04-28,2016-12-18,2018-05-31,Payroll Manager,Payroll,Mumbai,Relieved,PG,Day,2870000
